Name,Base Power,Move Description  and  Effects,Targets,PP,Accuracy,Location
Hone Claws,--,Raises Atk and Acc,Self,15,--,Route 5
Dragon Claw,80,Damages target,Single,15,100,Victory Road
Psyshock,80,Users SpAtk vs Targets Def,Single,10,100,Victory Road
Calm Mind,--,Raises SpAtk SpDef,Self,20,--,Anistar Gym
Roar,--,Flees or Switches,Single,20,--,Battle Maison
Toxic,--,Poisons,Single,10,90,Route 14
Hail,--,Summons Hail for 5 Turns,--,10,--,Shalour PokeMart
Bulk Up,--,raises att and def,Self,20,--,Snowbelle
Venoshock,65,Greater damage if target is poisoned,Single,10,100,Route 6
Hidden Power,60,Unique per Pokemon,Single,15,100,Anistar
Sunny Day,--,Summons Sunlight for 5 Turns,--,5,--,Lumiose PokeMart
Taunt,--,Negates  all but damaging moves for 3 turns,Single,20,100,Lysandre Labs
Ice Beam,90,Freezes,Single,10,100,Snowbelle Gym
Blizzard,110,Freezes,Multiple,5,70,Anistar PokeMart
Hyper Beam,150,User  Rest next turn,Single,5,90,Anistar PokeMart
Light Screen,--,Raises SpDef,Self,30,--,Kiloude PokeMart
Protect,--,Negates all moves; fails if used consecutively,Self,10,--,Parfum Palace
Rain Dance,--,Summons Rain for 5 Turns,--,5,--,Lumiose PokeMart
Roost,--,Restores Half of Max HP,Self,10,--,Route 8
Safeguard,--,Negates all status moves for 5 turns,--,25,--,Shalour PokeMart
Frustration,--,Greater damage  if hates trainer,Single,20,100,Connecting Cave
Solar Beam,120,2 Turn Move  charges then attacks,Single,10,100,Route 21
Smack Down,50,Negates  Flying or Levitate Pokemon,Single,15,100,Battle Maison
Thunderbolt,90,Paralyzes,Single,15,100,Lumiose Gym
Thunder,110,Paralyzes,Single,10,70,Anistar PokeMart
Earthquake,100,Damages target,Multiple,10,100,Route 22
Return,--,Greater damage  if loves trainer,Single,20,100,Route 4
Dig,80,2 Turn Move  burrows then attacks,Single,10,100,Shalour PokeMart
Psychic,90,Lowers SpDef,Single,10,100,Pokemon Village
Shadow Ball,80,Lowers  SpDef,Single,15,100,Terminus Cave
Brick Break,75,Negates  Light Screen  and  Reflect,Single,15,100,Terminus Cave
Double Team,--,Raises  Evasion,Self,15,--,Anistar PokeCenter
Reflect,--,Raises  Def,Self,20,--,Kiloude PokeMart
Sludge Wave,95,Poisons,Multiple,10,100,Battle Maison
Flamethrower,90,Burns,Single,15,100,Anistar PokeCenter
Sludge Bomb,90,Poisons,Single,10,100,Route 19
Sandstorm,--,Summons  Sandstorm for 5 turns,--,10,--,Shalour PokeMart
Fire Blast,110,Burns,Single,5,85,Anistar Poke Mart
Rock Tomb,60,Lowers  Speed,Single,15,95,Cyllage Gym
Aerial Ace,60,Always hits,Single,20,--,Connecting Cave
Torment,--,Negates  same move used consecutively,Single,15,100,Laverre
Facade,70,Greater damage  if user has status effect,Single,20,100,Dendimelle
Flame Charge,50,User  Raises Speed,Single,20,100,Kalos Power Plant
Rest,--,Restores HP  Fully and sleeps for 2 turns,Self,10,--,Cyllage
